Numero de mesure;Longitude;Latitude;Position;Insee;Adresse;Complement;Code postal;Commune;Date de mesure;Mesure realisee;Rapport;Conformite de la mesure;Niveau global;Type d'environnement;Laboratoire
175;3.91611;43.58528;03e 54' 58.00'' Est, 43e 35' 07.00'' Nord;34129;Mas de Gau;;34970;LATTES;06/12/2001;En exterieur;FicheMesure175.pdf;Oui;0.00;Divers;SATELIT
180;4.04194;43.64694;04e 02' 31.00'' Est, 43e 38' 49.00'' Nord;34176;5539 Rue Lou Claou de la Oulivettas;;34130;MUDAISON;06/12/2001;En exterieur;FicheMesure180.pdf;Oui;0.00;Divers;SATELIT
543;3.03167;43.36028;03e 01' 54.00'' Est, 43e 21' 37.00'' Nord;34225;Chemin de Montfaucon;residence de  Mme SOUTADE;34620;PUISSERGUIER;23/05/2002;En exterieur;FicheMesure543.pdf;Oui;0.54;Divers;APAVE
545;3.03278;43.36167;03e 01' 58.00'' Est, 43e 21' 42.00'' Nord;34225;Chemin de Quarante;residence de  M. GONZALEZ;34620;PUISSERGUIER;23/05/2002;En exterieur;FicheMesure545.pdf;Oui;0.20;Divers;APAVE
850;3.56444;43.64583;03e 33' 52.00'' Est, 43e 38' 45.00'' Nord;34114;480 Chemin de Pioch Courbi;Chez Mme et M. GALOIS;34150;GIGNAC;10/10/2002;En exterieur;FicheMesure850.pdf;Oui;0.53;Rue / Route / Parking;APAVE
851;3.56306;43.64806;03e 33' 47.00'' Est, 43e 38' 53.00'' Nord;34114;Vieux chemin;Chez Mme et M. HERMITTE.;34150;GIGNAC;10/10/2002;En exterieur;FicheMesure851.pdf;Oui;0.78;Rue / Route / Parking;APAVE
852;3.56306;43.64694;03e 33' 47.00'' Est, 43e 38' 49.00'' Nord;34114;401 Chemin de Pioch Courbi;Chez Mme et M. EON.;34150;GIGNAC;10/10/2002;En exterieur;FicheMesure852.pdf;Oui;0.53;Rue / Route / Parking;APAVE
1072;3.91611;43.58500;03e 54' 58.00'' Est, 43e 35' 06.00'' Nord;34129;Cheteau d'eau de Boirargues;Au pied du cheteau d'eau.;34970;LATTES;22/01/2003;En exterieur;FicheMesure1072.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
1073;3.91667;43.58667;03e 55' 00.00'' Est, 43e 35' 12.00'' Nord;34129;Avenue de la Mer - Garage Tunning XXS;Au debut du chemin donnant sur le cheteau d'eau par la route de Carnon.;34970;LATTES;22/01/2003;En exterieur;FicheMesure1073.pdf;Oui;0.54;Rue / Route / Parking;CSTB - Saint Martin d'Heres
1074;3.91889;43.58583;03e 55' 08.00'' Est, 43e 35' 09.00'' Nord;34129;Chemin des Mas de Gau;Au debut de la piste cyclable donnant sur le chemin des Mas de Gau, le long de l'Avenue de la Mer.;34970;LATTES;22/01/2003;En exterieur;FicheMesure1074.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
1115;3.20806;43.34861;03e 12' 29.00'' Est, 43e 20' 55.00'' Nord;34032;15 Rue des Cygnes;Sous le preau de la porte d'entree de l'immeuble;34500;BEZIERS;20/02/2003;En exterieur;FicheMesure1115.pdf;Oui;0.30;Rue / Route / Parking;CSTB - Saint Martin d'Heres
1193;3.89750;43.63806;03e 53' 51.00'' Est, 43e 38' 17.00'' Nord;34057;256 Chemin du Cheteau d'eau;au pied du cheteau d'eau devant l'entree du 256.;34170;CASTELNAU-LE-LEZ;13/03/2003;En exterieur;FicheMesure1193.pdf;Oui;1.35;Rue / Route / Parking;CSTB - Saint Martin d'Heres
1194;3.89778;43.63889;03e 53' 52.00'' Est, 43e 38' 20.00'' Nord;34057;50 Chemin du Cheteau d'eau;Devant l'entree du 50 chemin du cheteau d'eau.;34170;CASTELNAU-LE-LEZ;13/03/2003;En exterieur;FicheMesure1194.pdf;Oui;1.47;Rue / Route / Parking;CSTB - Saint Martin d'Heres
1195;3.89889;43.63861;03e 53' 56.00'' Est, 43e 38' 19.00'' Nord;34057;Impasse de l'Oppudum;Devant l'entree du 225-230 impasse de l'oppudum;34170;CASTELNAU-LE-LEZ;13/03/2003;En exterieur;FicheMesure1195.pdf;Oui;0.57;Rue / Route / Parking;CSTB - Saint Martin d'Heres
1955;3.88556;43.71639;03e 53' 08.00'' Est, 43e 42' 59.00'' Nord;34014;283 Rue de Montpellier;Les mesures en large bande ont ete effectuees en plusieurs emplacements dans l'azimut du relais GSM (maison de Mr Gelly,terrain de jeux ainsi que la place publique).Les mesures spectrales ont ete realisees au point de champ maximum en large bande, c'est e dire dans la cour d'entree de la maison de Mr Gelly.;34820;ASSAS;03/02/2003;En exterieur;FicheMesure1955.pdf;Oui;0.95;Rue / Route / Parking;BUREAU VERITAS
2286;3.86944;43.60833;03e 52' 10.00'' Est, 43e 36' 30.00'' Nord;34172;Cours Gambetta;;34000;MONTPELLIER;20/08/2003;En exterieur;FicheMesure2286.pdf;Oui;0.40;Rue / Route / Parking;AEXPERTISE
2428;4.08361;43.55861;04e 05' 01.00'' Est, 43e 33' 31.00'' Nord;34344;140 Rue du Port;Terrasse de l'Hotel Mercure;34280;LA GRANDE-MOTTE;31/07/2003;En exterieur;FicheMesure2428.pdf;Oui;9.63;Divers;APAVE
2429;4.08361;43.55861;04e 05' 01.00'' Est, 43e 33' 31.00'' Nord;34344;140 Rue du Port;Terrasse de l'Hotel Mercure;34280;LA GRANDE-MOTTE;31/07/2003;En exterieur;FicheMesure2429.pdf;Oui;5.16;Divers;APAVE
3043;3.23056;43.36139;03e 13' 50.00'' Est, 43e 21' 41.00'' Nord;34032;Hors de Monseigneur - Reservoir de la Cor;MESURE EN PIED DE PYLONE;34500;BEZIERS;13/05/2003;En exterieur;FicheMesure3043.pdf;Oui;0.00;Divers;BUREAU VERITAS
3045;3.23028;43.36167;03e 13' 49.00'' Est, 43e 21' 42.00'' Nord;34032;17 Rue des Terries;MESURE SUR TROTTOIR FACE AU Ne 17 RUE DES TERRIES;34500;BEZIERS;13/05/2003;En exterieur;FicheMesure3045.pdf;Oui;0.00;Rue / Route / Parking;BUREAU VERITAS
3046;3.22861;43.36306;03e 13' 43.00'' Est, 43e 21' 47.00'' Nord;34032;Reservoir d'eau;MESURE FACE AU RESERVOIR DEVANT GRILLAGE MAISON;34500;BEZIERS;13/05/2003;En exterieur;FicheMesure3046.pdf;Oui;0.00;Rue / Route / Parking;BUREAU VERITAS
3047;3.22917;43.36222;03e 13' 45.00'' Est, 43e 21' 44.00'' Nord;34032;Impasse Chaim Soudine;MESURE IMPASSE CHAIM SOUDINE AU BOUT DE L IMPASSE;34500;BEZIERS;13/05/2003;En exterieur;FicheMesure3047.pdf;Oui;0.00;Rue / Route / Parking;BUREAU VERITAS
3261;3.47833;43.30778;03e 28' 42.00'' Est, 43e 18' 28.00'' Nord;34003;2 Boulevard du Soleil;Dans la cour de recreation de l'�cole A. Camus.;34300;AGDE;14/01/2004;En exterieur;FicheMesure3261.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
3263;3.47750;43.30750;03e 28' 39.00'' Est, 43e 18' 27.00'' Nord;34003;2 Boulevard du Soleil;Devant l'entree de l'�cole A. Camus.;34300;AGDE;14/01/2004;En exterieur;FicheMesure3263.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
3309;3.79389;43.48944;03e 47' 38.00'' Est, 43e 29' 22.00'' Nord;34333;Rue Rocagnas;Ecole  Maternelle de Vic la Gardiole;34110;VIC-LA-GARDIOLE;17/09/2003;En exterieur;FicheMesure3309.pdf;Oui;0.95;Rue / Route / Parking;BUREAU VERITAS
3310;3.79389;43.48944;03e 47' 38.00'' Est, 43e 29' 22.00'' Nord;34333;Rue Rocagnas;Ecole  Maternelle de Vic la Gardiole;34110;VIC-LA-GARDIOLE;17/09/2003;En exterieur;FicheMesure3310.pdf;Oui;0.95;Rue / Route / Parking;BUREAU VERITAS
3876;3.81139;43.64000;03e 48' 41.00'' Est, 43e 38' 24.00'' Nord;34172;"Quartier ""la Paillade""-Tour Tryton Ne3";MESURE DEVANT ENTREE ECOLE;34080;MONTPELLIER;13/05/2003;En exterieur;FicheMesure3876.pdf;Oui;4.00;Rue / Route / Parking;BUREAU VERITAS
3877;3.81139;43.64000;03e 48' 41.00'' Est, 43e 38' 24.00'' Nord;34172;"Quartier ""La Paillade"" - Tour Triton Ne3";MESURE DEVANT ENTREE ECOLE;34080;MONTPELLIER;13/05/2003;En exterieur;FicheMesure3877.pdf;Oui;0.00;Rue / Route / Parking;BUREAU VERITAS
3878;3.81111;43.64028;03e 48' 40.00'' Est, 43e 38' 25.00'' Nord;34172;"Quartier ""La Paillade"" Tour Triton Ne3";MESURE DEVANT ENTREE ECOLE;34080;MONTPELLIER;13/05/2003;En exterieur;FicheMesure3878.pdf;Oui;0.00;Rue / Route / Parking;BUREAU VERITAS
3879;3.81167;43.63972;03e 48' 42.00'' Est, 43e 38' 23.00'' Nord;34172;"Quartier ""La Paillade"" Tour Triton Ne3";MESURE DEVANT ENTREE ECOLE;34080;MONTPELLIER;13/05/2003;En exterieur;FicheMesure3879.pdf;Oui;0.00;Rue / Route / Parking;BUREAU VERITAS
4467;3.90194;43.61861;03e 54' 07.00'' Est, 43e 37' 07.00'' Nord;34172;47 Place Jules Valles;Trottoir de la villa Ne 47 Place Jules Valles;34000;MONTPELLIER;25/06/2004;En exterieur;FicheMesure4467.pdf;Oui;1.39;Rue / Route / Parking;BUREAU VERITAS
4468;3.83750;43.60778;03e 50' 15.00'' Est, 43e 36' 28.00'' Nord;34172;88 Rue Viollet Le Duc;Groupe scolaire La Martelle;34070;MONTPELLIER;09/07/2004;En exterieur;FicheMesure4468.pdf;Oui;3.06;Rue / Route / Parking;BUREAU VERITAS
4664;3.67722;43.39417;03e 40' 38.00'' Est, 43e 23' 39.00'' Nord;34301;1 Place Edouard Heriot;Balcon de M. EMINET;34200;SETE;16/06/2004;En exterieur;FicheMesure4664.pdf;Oui;0.00;Divers;APAVE
4930;3.87389;43.61167;03e 52' 26.00'' Est, 43e 36' 42.00'' Nord;34172;Place Saint Pierre;Devant la faculte de medecine.;34000;MONTPELLIER;20/10/2004;En exterieur;FicheMesure4930.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4931;3.83972;43.61750;03e 50' 23.00'' Est, 43e 37' 03.00'' Nord;34172;703 Rue d'Alco;Devant le portail du groupe scolaire du Petit Bard.;34000;MONTPELLIER;19/10/2004;En exterieur;FicheMesure4931.pdf;Oui;1.38;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4932;3.84000;43.61694;03e 50' 24.00'' Est, 43e 37' 01.00'' Nord;34172;Rue d'Alco;"A cote de l'arret de bus ""Paul Bringuier"".";34000;MONTPELLIER;19/10/2004;En exterieur;FicheMesure4932.pdf;Oui;1.11;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4933;3.87583;43.61250;03e 52' 33.00'' Est, 43e 36' 45.00'' Nord;34172;21 Rue de l'Aigrefeuille;Dans la partie haute du square de l'intendance du Languedoc.;34000;MONTPELLIER;20/10/2004;En exterieur;FicheMesure4933.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4934;3.87583;43.61222;03e 52' 33.00'' Est, 43e 36' 44.00'' Nord;34172;21 Rue de l'Aigrefeuille;Devant l'entree de l'�cole Jean Jacques Rousseau.;34000;MONTPELLIER;20/10/2004;En exterieur;FicheMesure4934.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4935;3.83889;43.61778;03e 50' 20.00'' Est, 43e 37' 04.00'' Nord;34172;Rue Rimbaud;Devant l'entree de l'�cole maternelle G. BON.;34000;MONTPELLIER;19/10/2004;En exterieur;FicheMesure4935.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4959;3.88194;43.59833;03e 52' 55.00'' Est, 43e 35' 54.00'' Nord;34172;Impasse des Marmousets;Devant le portail de l'�cole maternelle S. Signoret.;34000;MONTPELLIER;20/10/2004;En exterieur;FicheMesure4959.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4960;3.88389;43.59778;03e 53' 02.00'' Est, 43e 35' 52.00'' Nord;34172;Rue des Marronniers;Devant l'entree du college G. Philippe.;34000;MONTPELLIER;20/10/2004;En exterieur;FicheMesure4960.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
4961;3.88361;43.59722;03e 53' 01.00'' Est, 43e 35' 50.00'' Nord;34172;Rue des Marronniers;Devant les portails d'entree du college.;34000;MONTPELLIER;20/10/2004;En exterieur;FicheMesure4961.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
5002;3.48250;43.48361;03e 28' 57.00'' Est, 43e 29' 01.00'' Nord;34162;15 Chemin de Cabanis;Devant le portail d'entree du Ne15, sur le trottoir cote impair;34530;MONTAGNAC;20/10/2004;En exterieur;FicheMesure5002.pdf;Oui;1.15;Rue / Route / Parking;AEXPERTISE
5004;3.88250;43.60972;03e 52' 57.00'' Est, 43e 36' 35.00'' Nord;34172;14 Avenue Frederic Mistral;Terrasse de Monsieur Savelli, 4eme etage;34000;MONTPELLIER;08/10/2004;En exterieur;FicheMesure5004.pdf;Oui;0.81;Divers;AEXPERTISE
5233;3.14111;43.31250;03e 08' 28.00'' Est, 43e 18' 45.00'' Nord;34081;Rue des ecoles;Ecole Maternelle et primaire de Colombiers;34440;COLOMBIERS;28/10/2004;En exterieur;FicheMesure5233.pdf;Oui;0.00;Rue / Route / Parking;BUREAU VERITAS - Marseille
5599;3.48528;43.30250;03e 29' 07.00'' Est, 43e 18' 09.00'' Nord;34003;Boulevard Jean Moulin;College Paul Emile Victor, e cete de l'entree cete D32, route vers le Cap D'Agde.;34300;AGDE;19/01/2005;En exterieur;FicheMesure5599.pdf;Oui;1.54;Rue / Route / Parking;AEXPERTISE
5600;3.48361;43.31222;03e 29' 01.00'' Est, 43e 18' 44.00'' Nord;34003;Rue Paul Balmigere;Stade Louis Sanguin, entre le local technique de la ville d'Agde, et les terrains de tennis;34300;AGDE;19/01/2005;En exterieur;FicheMesure5600.pdf;Oui;0.85;Rue / Route / Parking;AEXPERTISE
5609;3.51333;43.28361;03e 30' 48.00'' Est, 43e 17' 01.00'' Nord;34003;Place de l'Agde Marine;Sur la place de l'Agde Marine.;34300;AGDE;31/01/2005;En exterieur;FicheMesure5609.pdf;Oui;0.60;Rue / Route / Parking;CSTB - Saint Martin d'Heres
5610;3.51333;43.28444;03e 30' 48.00'' Est, 43e 17' 04.00'' Nord;34003;Place A. Bertrand;Sur une place de parking de la place A. Bertrand.;34300;AGDE;31/01/2005;En exterieur;FicheMesure5610.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
5611;3.51472;43.28417;03e 30' 53.00'' Est, 43e 17' 03.00'' Nord;34003;Rue des Sergents;Sur le parvis de l'annexe de la mairie.;34300;AGDE;31/01/2005;En exterieur;FicheMesure5611.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
5621;3.87972;43.75806;03e 52' 47.00'' Est, 43e 45' 29.00'' Nord;34276;Les Avants;Au pied du pylene, les Avants.;34270;SAINT-MATHIEU-DE-TREVIERS;01/02/2005;En exterieur;FicheMesure5621.pdf;Oui;0.58;Rue / Route / Parking;CSTB - Saint Martin d'Heres
5622;3.88056;43.75917;03e 52' 50.00'' Est, 43e 45' 33.00'' Nord;34276;12 Rue des Dryades;Devant le ne12, les Dryades.;34270;SAINT-MATHIEU-DE-TREVIERS;01/02/2005;En exterieur;FicheMesure5622.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
5623;3.87500;43.76028;03e 52' 30.00'' Est, 43e 45' 37.00'' Nord;34276;Avenue du Grand Chene;Au croisement de l'av. du Grand Chene et de l'av. des Romarins.;34270;SAINT-MATHIEU-DE-TREVIERS;01/02/2005;En exterieur;FicheMesure5623.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
5803;3.81806;43.58139;03e 49' 05.00'' Est, 43e 34' 53.00'' Nord;34270;1 Impasse des Joncs;Devant la villa de Mr Rebous;34430;SAINT-JEAN-DE-VEDAS;08/03/2005;En exterieur;FicheMesure5803.pdf;Oui;0.66;Rue / Route / Parking;BUREAU VERITAS - Marseille
6268;3.14167;43.31278;03e 08' 30.00'' Est, 43e 18' 46.00'' Nord;34081;Rue des ecoles;Terrain de basket et football de l'�cole;34440;COLOMBIERS;25/05/2005;En exterieur;FicheMesure6268.pdf;Oui;0.21;Rue / Route / Parking;BUREAU VERITAS - Marseille
6375;3.59361;43.43306;03e 35' 37.00'' Est, 43e 25' 59.00'' Nord;34157;RN 113;RN 113, devant propriete de M Delmas et M Lassene;34140;MEZE;30/05/2005;En exterieur;FicheMesure6375.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
6456;3.68667;43.40806;03e 41' 12.00'' Est, 43e 24' 29.00'' Nord;34301;Rue Salvador Allende;Sur le trottoir,  e l'angle du betiment de l'ancienne agence.;34200;SETE;01/06/2005;En exterieur;FicheMesure6456.pdf;Oui;0.54;Rue / Route / Parking;CSTB - Saint Martin d'Heres
6807;3.84000;43.60861;03e 50' 24.00'' Est, 43e 36' 31.00'' Nord;34172;888 Rue Franeois Dezeuze;Devant le portail d'entree de l'immeuble.;34070;MONTPELLIER;19/08/2005;En exterieur;FicheMesure6807.pdf;Oui;0.22;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7015;3.84000;43.62500;03e 50' 24.00'' Est, 43e 37' 30.00'' Nord;34172;173 Rue Michel Teule;"Sur le parking du ""Parc d'Alco"".";34080;MONTPELLIER;17/10/2005;En exterieur;FicheMesure7015.pdf;Oui;0.47;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7018;3.84167;43.60750;03e 50' 30.00'' Est, 43e 36' 27.00'' Nord;34172;Avenue de la Colline;Devant l'entree de l'EREA Jean Jacques Rousseau.;34070;MONTPELLIER;18/10/2005;En exterieur;FicheMesure7018.pdf;Oui;0.31;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7019;3.84194;43.60667;03e 50' 31.00'' Est, 43e 36' 24.00'' Nord;34172;270 Avenue de la Colline;En bordure du Lycee Professionnel de la Colline.;34070;MONTPELLIER;18/10/2005;En exterieur;FicheMesure7019.pdf;Oui;0.29;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7020;3.84222;43.60611;03e 50' 32.00'' Est, 43e 36' 22.00'' Nord;34172;36 Rue des Eglantiers;Devant l'entree des logements du lycee.;34070;MONTPELLIER;18/10/2005;En exterieur;FicheMesure7020.pdf;Oui;0.65;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7021;3.66000;43.39556;03e 39' 36.00'' Est, 43e 23' 44.00'' Nord;34301;Avenue Jean Monnet;"Sur la terrasse de M. DUMONT au RDC, residence ""La Corvette"".";34200;SETE;19/10/2005;En exterieur;FicheMesure7021.pdf;Oui;0.24;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7022;3.66611;43.39556;03e 39' 58.00'' Est, 43e 23' 44.00'' Nord;34301;19 Boulevard Joliot Curie;Sous le preau du lycee Joliot Curie.;34200;SETE;19/10/2005;En exterieur;FicheMesure7022.pdf;Oui;0.29;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7168;3.88528;43.60611;03e 53' 07.00'' Est, 43e 36' 22.00'' Nord;34172;24 Avenue du Pont Juvenal;Sur le trottoir en face de l'�cole de formation FORMATEP-ETEC;34000;MONTPELLIER;16/11/2005;En exterieur;FicheMesure7168.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
7169;3.88472;43.60722;03e 53' 05.00'' Est, 43e 36' 26.00'' Nord;34172;Avenue des Etats du Languedoc;A l'arriere de la cours de la creche Antigone, e cote de la cabine telephonique;34000;MONTPELLIER;16/11/2005;En exterieur;FicheMesure7169.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
7306;3.87194;43.60778;03e 52' 19.00'' Est, 43e 36' 28.00'' Nord;34172;Rue des Soldats;Le long de l'enceinte de l'�cole.;34000;MONTPELLIER;08/12/2005;En exterieur;FicheMesure7306.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7307;3.87111;43.60722;03e 52' 16.00'' Est, 43e 36' 26.00'' Nord;34172;26 Cours Gambetta;Au pied de l'immeuble;34000;MONTPELLIER;08/12/2005;En exterieur;FicheMesure7307.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7308;3.87111;43.60722;03e 52' 16.00'' Est, 43e 36' 26.00'' Nord;34172;Cours Gambetta;Devant le betiment de la CRAM.;34000;MONTPELLIER;08/12/2005;En exterieur;FicheMesure7308.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7309;3.89833;43.59167;03e 53' 54.00'' Est, 43e 35' 30.00'' Nord;34172;Avenue du Docteur Jacques Fourcade;En bordure du complexe sportif de la Rauze.;34070;MONTPELLIER;09/12/2005;En exterieur;FicheMesure7309.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7310;3.89361;43.59278;03e 53' 37.00'' Est, 43e 35' 34.00'' Nord;34172;Rue de Saint Hilaire;"Devant l'entree de ""Coste Peinture"".";34070;MONTPELLIER;09/12/2005;En exterieur;FicheMesure7310.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7311;3.89667;43.59333;03e 53' 48.00'' Est, 43e 35' 36.00'' Nord;34172;Rue de Saint Hilaire;Sur le parking de l'�cole maternelle Paul Eluard.;34070;MONTPELLIER;09/12/2005;En exterieur;FicheMesure7311.pdf;Oui;0.00;Rue / Route / Parking;CSTB - Saint Martin d'Heres
7760;3.81861;43.62361;03e 49' 07.00'' Est, 43e 37' 25.00'' Nord;34172;53 Rue de Salamanque;Devant la stele Groupe scolaire Salamanque;34080;MONTPELLIER;20/12/2005;En exterieur;FicheMesure7760.pdf;Oui;0.00;Rue / Route / Parking;AEXPERTISE
7761;3.81222;43.64000;03e 48' 44.00'' Est, 43e 38' 24.00'' Nord;34172;135 Allee des Hauts de Montpellier;Au bord du stade, e cete du pylene d'�clairage pres du club house Les Tristons;34080;MONTPELLIER;20/12/2005;En exterieur;FicheMesure7761.pdf;Oui;4.10;Divers;AEXPERTISE
7762;3.90833;43.61167;03e 54' 30.00'' Est, 43e 36' 42.00'' Nord;34172;175 Rue Edouard Villalonga;Sur le palier de la porte fenetre de l'�cole Sarah Bernardt;34000;MONTPELLIER;19/12/2005;En exterieur;FicheMesure7762.pdf;Oui;0.64;Rue / Route / Parking;AEXPERTISE
7763;3.88917;43.61028;03e 53' 21.00'' Est, 43e 36' 37.00'' Nord;34172;528 Boulevard Antigone;A l'angle de l'�cole elementaire Pericles, cete boulevard Antigone;34000;MONTPELLIER;19/12/2005;En exterieur;FicheMesure7763.pdf;Oui;0.23;Rue / Route / Parking;AEXPERTISE
8054;3.83111;43.57750;03e 49' 52.00'' Est, 43e 34' 39.00'' Nord;34270;1 Rue Bobby Lapointe;devant la porte d'entree;34430;SAINT-JEAN-DE-VEDAS;25/01/2006;En exterieur;FicheMesure8054.pdf;Oui;1.44;Rue / Route / Parking;AEXPERTISE
8055;3.82889;43.56806;03e 49' 44.00'' Est, 43e 34' 05.00'' Nord;34270;2 Rue Du brucq;devant le portail du garage;34430;SAINT-JEAN-DE-VEDAS;25/01/2006;En exterieur;FicheMesure8055.pdf;Oui;2.46;Rue / Route / Parking;AEXPERTISE
8475;3.91028;43.65722;03e 54' 37.00'' Est, 43e 39' 26.00'' Nord;34120;4 Rue Belvedere;devant le ne4 de la rue Belvedere;34830;JACOU;18/04/2006;En exterieur;FicheMesure8475.pdf;Oui;1.75;Rue / Route / Parking;AEXPERTISE
8488;3.69361;43.65028;03e 41' 37.00'' Est, 43e 39' 01.00'' Nord;34163;Avenue Font Mosson;Ecole Maternelle de Montarnaud, dans la cour, entre le preau et l'aire de jeu;34570;MONTARNAUD;17/05/2006;En exterieur;FicheMesure8488.pdf;Oui;0.35;Rue / Route / Parking;AEXPERTISE
8490;3.69750;43.65972;03e 41' 51.00'' Est, 43e 39' 35.00'' Nord;34163;Lotissement Crouzette;Devant le College Vincent Badie de Montarnaud, sur le trottoir, en face du parc e velo;34570;MONTARNAUD;17/05/2006;En exterieur;FicheMesure8490.pdf;Oui;0.27;Rue / Route / Parking;AEXPERTISE
8495;3.85333;43.59111;03e 51' 12.00'' Est, 43e 35' 28.00'' Nord;34172;3220 Boulevard Paul Valery;�cole superieure des arts et des medias, en face du cheteau d'eau, devant l'acces e la chaufferie;34000;MONTPELLIER;19/04/2006;En exterieur;FicheMesure8495.pdf;Oui;0.42;Rue / Route / Parking;AEXPERTISE
8496;3.85417;43.59083;03e 51' 15.00'' Est, 43e 35' 27.00'' Nord;34172;3220 Boulevard Paul Valery;�cole superieure des arts et des medias, e l'entree du parking;34000;MONTPELLIER;19/04/2006;En exterieur;FicheMesure8496.pdf;Oui;0.40;Rue / Route / Parking;AEXPERTISE
